PbANKA_14_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=2549703 | SO=chromosome
PbANKA_13_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=2521873 | SO=chromosome
PbANKA_12_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=1807262 | SO=chromosome
PbANKA_11_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=1762642 | SO=chromosome
PbANKA_10_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=1640193 | SO=chromosome
PbANKA_09_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=1633586 | SO=chromosome
PbANKA_08_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=1420537 | SO=chromosome
PbANKA_07_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=846620 | SO=chromosome
PbANKA_06_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=984266 | SO=chromosome
PbANKA_05_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=931174 | SO=chromosome
PbANKA_04_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=712327 | SO=chromosome
PbANKA_03_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=659512 | SO=chromosome
PbANKA_02_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=622508 | SO=chromosome
PbANKA_01_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=515659 | SO=chromosome
PbANKA_MIT_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=5957 | SO=mitochondrial_chromosome
PbANKA_API_v3 | Plasmodium_berghei_ANKA | version=2015-07-06 | length=34403 | SO=apicoplast_chromosome
PCHAS_14_v3 | Plasmodium_chabaudi_chabaudi | version=2015-06-18 | length=2516057 | SO=chromosome
PCHAS_13_v3 | Plasmodium_chabaudi_chabaudi | version=2015-06-18 | length=2626858 | SO=chromosome
PCHAS_12_v3 | Plasmodium_chabaudi_chabaudi | version=2015-06-18 | length=1766339 | SO=chromosome
